文本序号	文本内容
1	我属于微胖的身材178cm身高，体重是160斤，试驾的时候乘坐空间很宽敞，对我这个小胖子来说车里还是很不错，其次就是后备箱的空间也很大而且开口很宽
2	空间不错，前排调整好以后后排还有不错的空间，后面坐两个人最舒服。
3	这车的空间该说不说是真大，将近5米的车长，1米80多的车宽，我们俩个人用非常宽敞。坐进去是一点不感觉束缚，车顶也不顶头，宽敞舒服，一点都不压抑。后备箱空间也很大，后排座椅能放倒，过段时间买婴儿床都不用雇车，凯美瑞就能拉下了
4	车里的空间非常大，无论是乘坐空间还是储物空间这辆车准备的都很好。车身比较宽，车里左右的距离很大，平时的话就是两个人用，坐进去给人的感觉就是两个字宽敞。后排空间也同样宽敞，中央有扶手，整辆车做四个人或者五个人都是绰绰有余的。
5	我想说丰田车企肯定是对空间情有独钟，凯美瑞的空间设计很不错，2825cm的轴距让凯美瑞的空间发挥到了极致，尤其是后排空间，我1.7米，坐在后排翘腿是没有任何问题的，点赞！前排乘坐也是非常舒服！再就是开长途车时，如果后排乘坐三人的情况下，那中间的这个乘客就会有不舒服的体验，因为地板隆起的高度的确不尽如意，或许是我鸡蛋里挑骨头哈，很多B级车地板隆起的都比较高！
6	这款车的车内空间表现也是非常优秀的了，车内的空间很宽敞，日常家用的话也是完全足够的了，后排坐三个人的话也没有特别拥挤的感觉的，而且座椅也很柔软的，对我的身体有一定的支撑效果的
7	凯美瑞空间很大，不管是前排还是后排都非常宽敞，个人认为驾驶人180斤妥妥没问题，后排可乘坐3个成年人不拥挤，我家里4口人，出门绝对够用还有多余空间，乘坐感非常棒，并且座椅真皮，包裹性很强，后备箱空间也大，可以装不少东西。
8	空间利用率很好，后排可以跷二郎腿。但是比雅阁稍微差一点。
9	凯美瑞空间确实很大，后排像我170女生，坐起来腿部空间余出不少，后面放个安全座椅一点不挤，可以旋转乘坐，空间非常大。
10	空间上我认为还是挺充足的，因为他的表现绝对是够用的，所以我觉得空间上还是比较宽松的，所以我认为空间上的一个宽松的表现确实是能提高很多我对于他的一个满意程度，因为我觉得用起来是非常好用的，所以我对他非常的放心。
11	空间我觉得挺不错的，之前用的是紧凑型的轿车，车子换到这么大一台B型轿车里面，我觉得它的空间水平是够的，后排的位置也很大，只是和雅阁相比的话没有啥雅阁后排的位置宽裕，但是水平也是够用的，相对来说就是后备箱更大一点，不过后备箱也不怎么用到，平时自己用到最多的就是主驾驶和副驾驶，其实后排自己也不怎么用到，但是有空间大肯定每次做人更加会舒服一点。
12	小凯空间非常大，比起以前开的小雷确实不在一个档位上，后排空间很大，平时几个好朋友一起再也不拥挤了，后背面很大，能装不上我得小东西。
13	有车的乘坐空间方面我觉得是不错的，因为这个车身的轴距也是挺长的，凯美瑞这款车到它的车长是4米9，车内轴距是2825，其实我觉得是挺不错的，至少在b型轿车里面也算是挺合理的，这款车子基本上大部分时间都是我一个人用车，你这个车子的三分之2的空间都是用不到的，后备箱的控件还可以，因为作为家用车，自己也不会去拉货之类的，不会去作为商用，所以说我觉得这个家用还是可以的，用起来挺好。
14	凯美瑞的空间整体表现来说还是挺不错的，前后两排头部空间和腿部空间都不小，坐在车内不会有丝毫的压抑感。储物空间设计得也相当的丰富，平时收纳一些零碎的物品感觉也非常的方便。后备厢里面的空间也不算小，平时可以轻松的塞下两个大号的行李箱。自驾游开着它出去玩也不用担心行李装不下。
15	反正上下班买菜肯定够了家里两个孩子，妥妥的，就是四口之家也够用了，我1.75主驾驶肯定没问题，哈哈满满的都是炭包，为了自身安全，建议大家也买点
16	在我看来，空间够用就行，并不是一位的追求大，最求大的，请去买面包车，可以躺着！面包车空间大！我也实在搞不懂，要那么大睡觉吗？呵呵
17	凯美瑞的空间还是可以的，我175的身高，坐在主驾驶头顶离车顶大概有两拳的距离，坐在后排腿离前排座椅大概三拳的距离，如果是女生坐在后排，腿基本上是可以伸开的。虽然它的空间比不上SUV，但是我觉得它后备箱的空间比SUV还是要大的，属于挺能装的那种，我平时工作上的很多资料和送客户的礼品基本上都堆在后备箱里。动力
18	凯美瑞这车空间也很宽敞，空间设计得很合理，前排和后排空间也很大，后个1.8米的高个子坐上去也到不会感到拥挤，空间大就没有压迫，车内的储物盒设计很多个又实用，后备箱容积同级别车中对比，这车很后备箱容积大。
